id-corrida,City / Country, qtd_Br
11601,France,1
11607,Italy,1
11625,Mongolia,1
11642,Turkey,2
11717,Argentina,1
11721,Morocco,3
11791,Switzerland,1
11812,United Arab Emirates,1
11823,Spain,2
11851,United States,1
11855,United States,2
11864,United States,1
11878,Switzerland,1
11890,Portugal,2
11918,Israel,1
11927,United States,2
11929,United States,2
11976,France,1
11977,France,4
11996,Costa Rica,1
12000,Morocco,1
12001,United States,2
12002,United States,4
12003,United States,14
12006,United States,1
12028,Denmark,1
12063,Portugal,1
12096,Spain,1
12109,Peru,1
12154,Argentina,138
12178,France,2
12187,Switzerland,1
12213,Venezuela,5
12218,Germany,1
12246,Chile,1
12300,Portugal,1
12307,Portugal,2
12375,Portugal,1
12377,New Zealand,1
12393,Spain,1
12501,United States,2
12522,Argentina,85
12523,Argentina,46
12524,Argentina,85
12526,United States,1
12536,United States,1
12575,Italy,1
12577,Italy,1
12611,Argentina,7
12612,Argentina,2
12613,Argentina,5
12618,Canada,1
12635,Italy,1
12644,Portugal,2
12660,France,1
12740,Luxembourg,1
12792,Spain,1
12807,Peru,1
12809,Peru,1
12865,United States,4
12917,Paraguay,1
12937,New Zealand,1
12938,New Zealand,6
13038,Italy,3
13039,Italy,4
13047,Argentina,1
13068,Spain,1
13107,Portugal,2
13144,Chile,17
13157,South Korea,1
13183,Switzerland,1
13253,Mexico,1
13309,Australia,1
13330,Colombia,1
13332,Colombia,2
13414,Argentina,15
13456,Turkey,1
13469,Chile,1
13549,Spain,5
13551,Spain,5
13553,Spain,2
13555,Spain,2
13561,Chile,5
13563,Chile,8
13565,Chile,11
13569,Chile,1
13605,Malaysia,1
13693,France,1
13769,Belgium,1
13793,Portugal,4
13795,Portugal,3
13995,Spain,3
14011,United Kingdom,1
14021,Switzerland,1
14035,Spain,2
14093,Argentina,1
14097,Argentina,1
14421,Spain,1
14427,Portugal,1
14525,Argentina,2
14595,"Hong Kong, China",1
14953,France,1
14955,France,1
15197,Switzerland,1
15201,Portugal,1
15237,Hungary,1
15245,Argentina,12
15257,Argentina,4
15313,Argentina,24
15314,Argentina,97
15315,Argentina,111
15316,Argentina,29
15317,Argentina,7
15321,Italy,1
15324,Japan,5
15356,Argentina,1
15403,Portugal,1
15405,Portugal,1
15411,Belgium,2
15417,Switzerland,1
15423,Switzerland,1
15437,Spain,1
15449,France,1
15495,Chile,7
15497,Chile,11
15507,Chile,1
15509,Chile,2
15577,"Hong Kong, China",1
15707,Portugal,1
15725,Switzerland,1
15727,Switzerland,1
15743,France,1
15771,United States,1
15789,France,1
15875,Portugal,1
15887,Mexico,1
15891,Chile,3
15893,Chile,13
15895,Chile,13
15897,Chile,17
15925,Switzerland,1
15935,Chile,1
15937,Chile,16
15939,Chile,2
15949,United States,1
15979,Portugal,2
15981,Portugal,3
15983,Portugal,3
16059,Argentina,1
16121,United States,1
16135,Italy,1
16173,Portugal,4
16175,Portugal,9
16179,Bulgaria,1
16215,France,1
16305,Germany,1
16397,United States,1
16405,Argentina,5
16407,Argentina,60
16441,Italy,2
16513,United Kingdom,1
16515,United Kingdom,1
16623,France,1
16649,Chile,14
16653,Chile,34
16655,Chile,42
16693,Portugal,1
16699,Switzerland,1
16729,United States,1
16731,United States,1
16751,Austria,1
16769,Portugal,1
16783,Italy,1
16877,Italy,8
16885,Australia,2
16887,Australia,3
16889,Australia,1
16943,Switzerland,1
17033,France,1
17131,Spain,2
17221,Italy,1
17225,Italy,1
17331,Spain,1
17347,Japan,2
17381,France,18
17383,France,13
17387,France,22
17491,Spain,2
17585,United States,1
17661,France,1
17763,Turkey,1
17771,Bolivia,2
17775,United States,1
17893,Spain,1
17951,Switzerland,2
17955,Switzerland,1
17961,Switzerland,1
18027,Spain,1
18033,Portugal,2
18085,Canada,1
18167,Switzerland,1
18187,Spain,1
18209,Chile,4
18211,Mongolia,1
18213,Namibia,2
18219,Italy,1
18287,Spain,1
18299,Morocco,1
18303,Morocco,1
18359,Portugal,2
18389,Chinese Taipei,1
18443,Portugal,1
18483,Spain,1
18485,Spain,1
18589,Argentina,15
18591,Argentina,87
18593,Argentina,68
18595,France,1
18597,France,1
18603,Argentina,16
18615,Portugal,1
18719,France,7
18721,France,6
18723,France,7
18731,France,4
18735,United States,1
18741,United States,1
18745,United States,1
18747,United States,1
18767,United States,1
18773,United States,1
18775,United States,1
18805,Luxembourg,1
18857,France,1
18971,South Africa,1
18975,South Africa,1
19025,Switzerland,1
19067,Italy,3
19117,Colombia,1
19239,United States,1
19259,Portugal,1
19261,Portugal,1
19263,Portugal,2
19293,Portugal,3
19295,Peru,4
19297,Peru,1
19325,Spain,1
19337,France,2
19377,Ecuador,1
19507,Venezuela,2
19541,Peru,13
19641,Switzerland,1
19653,France,1
19661,Italy,6
19663,Italy,16
19665,Italy,3
19789,Italy,1
19807,Spain,1
19831,France,1
19891,Greece,1
19907,Italy,1
19975,Ecuador,2
20045,Spain,1
20077,France,1
20145,Argentina,1
20273,France,1
20275,France,1
20373,France,1
20453,Portugal,1
20577,"Pu Luong, Thanh Hoa",2
20669,Peru,5
20675,Peru,1
20679,Peru,1
20763,Paraguay,5
21027,Switzerland,1
21041,Portugal,1
21043,United States,2
21075,Ecuador,1
21109,Italy,1
21239,Colombia,1
21427,Portugal,1
21543,Portugal,1
21681,France,1
21829,France,1
21867,Argentina,7
21869,Argentina,3
21871,Argentina,12
21891,New Zealand,1
21981,Argentina,9
22009,Italy,1
22059,Argentina,2
22067,Chile,6
22071,Chile,6
22079,Canada,1
22289,Colombia,1
22391,Morocco,2
22455,Mexico,1
22515,South Africa,6
22517,South Africa,4
22519,South Africa,5
22583,Chile,2
22631,Switzerland,1
22707,Austria,1
22713,Argentina,2
22741,Spain,3
22745,Spain,1
22829,Portugal,1
22923,Colombia,1
22929,Ecuador,2
23091,Spain,1
23097,Switzerland,1
23389,Argentina,2
23513,Argentina,2
23555,Argentina,1
23565,Portugal,1
23587,Bhutan,1
23639,Spain,1
23711,Croatia,4
23717,Croatia,1
23721,Spain,1
23883,Spain,1
23961,"Hong Kong, China",1
24015,Portugal,1
24069,Colombia,1
24239,Bolivia,1
24243,Australia,1
24245,Australia,4
24247,Australia,1
24377,Italy,1
24399,France,1
24401,France,1
24449,Argentina,64
24451,Argentina,31
24667,Argentina,80
24677,Argentina,7
24679,Argentina,13
24681,Argentina,28
24683,Argentina,43
24719,United Kingdom,1
24725,United Kingdom,1
24795,France,20
24833,Switzerland,1
24851,France,1
24871,Norway,1
24899,Switzerland,1
24985,Spain,1
25039,Portugal,1
25041,Portugal,1
25049,France,1
25067,France,1
25071,France,12
25073,France,15
25075,France,26
25077,France,31
25113,Ecuador,1
25169,France,2
25193,France,4
25195,France,4
25197,France,6
25285,Austria,1
25297,Austria,1
25409,"Hong Kong, China",1
25463,Switzerland,2
25503,Chile,1
25515,Switzerland,1
25517,Switzerland,1
25625,Chile,2
25627,Chile,5
25629,Chile,2
25687,Spain,2
25783,France,1
25807,Australia,3
25809,Australia,2
25811,Australia,1
25875,Switzerland,3
25881,Switzerland,1
25935,United States,3
25979,Italy,1
26027,Colombia,1
26029,Colombia,1
26033,Colombia,1
26145,Portugal,1
26179,Italy,2
26181,Italy,3
26183,Italy,2
26217,Argentina,11
26219,Argentina,7
26221,Argentina,5
26335,Austria,2
26385,Chile,5
26387,Chile,16
26389,Chile,16
26391,Spain,9
26441,Peru,1
26565,France,1
26573,France,1
26757,Argentina,1
26775,United Kingdom,1
26795,Portugal,1
26809,Portugal,1
26865,Portugal,1
26915,Switzerland,1
26923,Switzerland,1
26933,Argentina,1
27005,Sweden,1
27037,Portugal,2
27043,Portugal,1
27077,United States,1
27079,United States,1
27197,Portugal,1
27223,Switzerland,1
27245,Canada,1
27309,United States,1
27543,France,2
27657,Australia,1
27675,Canada,2
27753,Italy,1
