corridas.id-corrida,corridas.Corrida,corridas.uri,corridas.Title,corridas.City / Country,corridas.Day,corridas.Month,corridas.Year,corridas.Race Category,corridas.Distance,corridas.Elevation Gain
51017,Desafio Raiz Vale dos Vinhedos,21139.desafioraizvaledosvinhedosdrvaledosvinhedoslongo.2019,Desafio Raiz Vale dos Vinhedos 2019 - D R Vale dos Vinhedos Longo,Brazil,30,November,2019,20K,21.3,830
51019,Desafio Raiz Vale dos Vinhedos,21141.desafioraizvaledosvinhedosdrvaledosvinhedosmedio.2019,Desafio Raiz Vale dos Vinhedos 2019 - D R Vale dos Vinhedos M�dio,Brazil,30,November,2019,,,
51175,ATT NOVA PETR�POLIS,21235.attnovapetropolis30km.2019,ATT NOVA PETR�POLIS 2019 - 30 km,Brazil,14,September,2019,20K,30,1370
51371,WTR Serra do Mar,12399.wtrserradomar26k.2019,WTR Serra do Mar 2019 - 26k,Brazil,23,November,2019,20K,28.3,1820
51373,WTR Serra do Mar,10677.wtrserradomar52k.2019,WTR Serra do Mar 2019 - 52k,Brazil,23,November,2019,50K,51.2,2560
51469,ULTRAMARATONA CAMINHOS DE CARAVAGGIO,21377.ultramaratonacaminhosdecaravaggioumcc217kmsolo.2020,ULTRAMARATONA CAMINHOS DE CARAVAGGIO 2020 - U M C C 217km SOLO,Brazil,1,January,2020,100M,217.6,5620
51715,X-Treme Run Gramado,21503.x-tremerungramadox-tremerun-longa25k.2019,X-Treme Run Gramado 2019 - X-Treme Run - Longa 25k,Brazil,5,October,2019,20K,25.4,1020
51719,X-Treme Run Gramado,21507.x-tremerungramadox-tremerun-ultra50k.2019,X-Treme Run Gramado 2019 - X-Treme Run - Ultra 50k,Brazil,5,October,2019,50K,50.8,2080
52397,Desafio Serra dos Mascates,21741.desafioserradosmascates53k.2019,Desafio Serra dos Mascates 2019 - 53k,Brazil,5,October,2019,50K,53.4,2690
52631,Desafio Serra dos Mascates,21881.desafioserradosmascates23k.2019,Desafio Serra dos Mascates 2019 - 23k,Brazil,5,October,2019,20K,26.7,1660
53305,ATT OS�RIO,22147.attosorio30km.2019,ATT OS�RIO 2019 - 30 KM,Brazil,26,October,2019,20K,29.3,760
54485,TRS Sapiranga,22623.trssapirangatrscurto.2019,TRS Sapiranga 2019 - TRS Curto,Brazil,3,November,2019,,,
54487,TRS Sapiranga,22625.trssapirangatrslongo.2019,TRS Sapiranga 2019 - TRS Longo,Brazil,3,November,2019,20K,26.3,1190
54489,TRS Sapiranga,22627.trssapirangatrsmedio.2019,TRS Sapiranga 2019 - TRS M�dio,Brazil,3,November,2019,,,
55309,ForrestRUN: Desafio Serrinha,11101.forrestrun-desafioserrinha19k-medio.2020,ForrestRUN: Desafio Serrinha 2020 - 19K - M�DIO,Brazil,16,February,2020,20K,19.4,570
55311,ForrestRUN: Desafio Serrinha,11099.forrestrun-desafioserrinha32k-longo.2020,ForrestRUN: Desafio Serrinha 2020 - 32K - LONGO,Brazil,16,February,2020,20K,32.5,970
55313,ForrestRUN: Desafio Serrinha,11103.forrestrun-desafioserrinha9k-curtoii.2020,ForrestRUN: Desafio Serrinha 2020 - 9K - CURTO II,Brazil,16,February,2020,,,
56907,2� STAGE INSANE,31075.2-stageinsaneinsane22k.2020,2� STAGE INSANE 2020 - INSANE 22K,Brazil,27,June,2020,20K,21.2,880
56909,2� STAGE INSANE,31076.2-stageinsaneinsane35k.2020,2� STAGE INSANE 2020 - INSANE 35K,Brazil,27,June,2020,20K,34.3,1120
56911,3� STAGE INSANE,31077.3-stageinsaneinsane10k.2020,3� STAGE INSANE 2020 - INSANE 10K,Brazil,26,September,2020,,,
